months,rev_Mean,mou_Mean,totcalls,eqpdays,rev_per_minute,calls_per_month,eqp_age_index,custcare_Mean,drop_vce_Mean,blck_vce_Mean,avgmou,avgrev,prob_churn,churn_pred
34,39.1125,501.25,4382,612.0,0.07787456445993031,125.2,17.485714285714284,9.666666667,1.333333333,0.0,411.22,42.42,0.42515373,1
13,65.35,776.75,2588,86.0,0.0840244294439087,184.85714285714286,6.142857142857143,0.333333333,5.0,2.0,629.83,65.15,0.5132406,1
16,311.7325,2823.0,9882,492.0,0.1103868626062323,581.2941176470588,28.941176470588236,0.333333333,39.0,9.0,2327.87,308.27,0.45588052,1
11,45.285,319.25,996,330.0,0.14140515222482433,83.0,27.5,0.0,3.333333333,0.333333333,240.0,38.95,0.6543628,1
28,46.1625,438.0,2383,836.0,0.10515375854214123,82.17241379310344,28.82758620689655,0.0,0.666666667,4.0,342.35,57.39,0.4615053,1
13,126.055,1547.0,7872,74.0,0.08143087855297158,562.2857142857143,5.285714285714286,4.0,22.33333333,1.333333333,1864.5,101.92,0.5196419,1
35,34.99,53.5,440,303.0,0.6420183486238532,12.222222222222221,8.416666666666666,0.0,0.0,0.0,28.42,27.6,0.39282018,1
21,19.99,6.5,246,630.0,2.6653333333333333,11.181818181818182,28.636363636363637,0.0,0.0,0.0,20.85,17.94,0.5303245,1
20,50.635,1237.0,4951,108.0,0.04090064620355412,235.76190476190476,5.142857142857143,6.333333333,12.66666667,0.666666667,946.42,60.74,0.42112112,1
25,61.945,430.5,3985,731.0,0.14355735805330244,153.26923076923077,28.115384615384617,0.0,3.666666667,0.666666667,493.22,68.52,0.57457054,1
8,58.165,568.75,1484,217.0,0.10208863536638876,164.88888888888889,24.11111111111111,0.666666667,10.66666667,8.333333333,512.0,50.01,0.2812388,0
14,30.185,134.75,952,401.0,0.2223572744014733,63.46666666666667,26.733333333333334,0.0,2.0,3.333333333,198.54,35.04,0.5184382,1
21,58.3125,437.25,3879,215.0,0.13305761551625783,176.3181818181818,9.772727272727273,0.0,1.666666667,3.666666667,410.55,46.32,0.47084084,1
24,50.385,870.5,7006,564.0,0.05781411359724613,280.24,22.56,0.666666667,6.0,3.333333333,525.0,49.24,0.49988034,1
29,48.195,355.5,1810,819.0,0.13518934081346423,60.333333333333336,27.3,0.0,12.66666667,0.666666667,398.1,66.23,0.6386141,1
24,79.7425,748.75,7087,321.0,0.10635878626208738,283.48,12.84,0.666666667,12.0,4.333333333,929.0,109.37,0.47951868,1
16,53.41,582.0,1261,152.0,0.0916123499142367,74.17647058823529,8.941176470588236,0.333333333,8.666666667,0.666666667,353.6,51.54,0.3923147,1
7,21.525,0.0,267,202.0,21.525,33.375,25.25,1.666666667,0.0,0.0,375.83,68.17,0.63075703,1
18,387.7775,2189.75,9265,105.0,0.17700673285404542,487.63157894736844,5.526315789473684,0.0,20.66666667,0.666666667,1634.88,235.06,0.5177776,1
19,34.1975,253.0,1701,554.0,0.13463582677165353,85.05,27.7,0.0,2.666666667,1.333333333,247.12,17.64,0.58666396,1
32,48.195,355.5,1054,928.0,0.13518934081346423,31.939393939393938,28.12121212121212,0.0,0.0,0.0,338.23,59.56,0.6035484,1
20,34.99,125.75,363,579.0,0.2760552268244576,17.285714285714285,27.571428571428573,0.0,0.0,0.0,59.44,32.28,0.4321504,1
17,117.9475,823.0,1786,160.0,0.14314016990291262,99.22222222222223,8.88888888888889,5.666666667,6.666666667,21.0,569.8,76.26,0.50048697,1
21,30.275,79.0,2668,269.0,0.3784375,121.27272727272727,12.227272727272727,0.0,0.333333333,7.333333333,271.68,32.39,0.54716,1
7,12.9675,345.5,570,220.0,0.03742424242424242,71.25,27.5,0.0,3.0,0.666666667,317.5,14.38,0.39799064,1
29,44.3375,179.5,1603,264.0,0.2456371191135734,53.43333333333333,8.8,0.0,0.333333333,1.666666667,148.5,39.48,0.38350153,1
29,35.53,73.66666667,1273,877.0,0.4758482142644711,42.43333333333333,29.233333333333334,0.333333333,1.666666667,1.0,95.88,38.53,0.6456317,1
13,54.59,1585.25,2199,36.0,0.03441449960598897,157.07142857142858,2.5714285714285716,9.0,16.33333333,0.0,1387.92,51.41,0.45119983,1
13,84.99,0.0,1131,380.0,84.99,80.78571428571429,27.142857142857142,0.0,0.0,0.0,331.08,82.78,0.8264588,1
28,83.7475,1169.75,8063,83.0,0.07153320521033525,278.0344827586207,2.8620689655172415,13.66666667,13.66666667,1.0,777.59,85.02,0.29230562,0
17,61.6875,697.0,4463,125.0,0.08837750716332378,247.94444444444446,6.944444444444445,9.0,10.33333333,1.0,694.06,65.12,0.43046468,1
17,58.4025,163.0,1427,527.0,0.3561128048780488,79.27777777777777,29.27777777777778,1.666666667,3.333333333,0.0,318.73,53.92,0.6306112,1
20,62.4675,304.5,2064,211.0,0.20447626841243863,98.28571428571429,10.047619047619047,0.0,6.666666667,0.333333333,220.56,50.53,0.47753417,1
42,30.4625,133.75,9029,1254.0,0.22606679035250463,209.97674418604652,29.162790697674417,0.0,8.666666667,3.333333333,450.79,63.72,0.7580772,1
15,35.15,422.75,2193,200.0,0.08294985250737463,137.0625,12.5,0.333333333,5.333333333,0.0,797.0,55.24,0.5459436,1
12,99.065,572.75,2025,363.0,0.1726623093681917,155.76923076923077,27.923076923076923,0.666666667,6.333333333,0.0,776.27,127.09,0.6383996,1
13,85.21333333,445.3333333,3652,164.0,0.19091859597392968,260.85714285714283,11.714285714285714,0.333333333,2.333333333,0.0,889.0,84.15,0.6410389,1
31,30.485,29.75,410,918.0,0.9913821138211382,12.8125,28.6875,0.0,0.333333333,0.0,19.38,29.32,0.5196676,1
31,31.9725,210.0,1028,946.0,0.15152843601895735,32.125,29.5625,0.0,0.666666667,0.333333333,198.1,34.87,0.5620507,1
21,50.5825,471.0,5067,619.0,0.10716631355932205,230.3181818181818,28.136363636363637,0.0,5.0,0.0,985.63,110.57,0.59438646,1
22,30.38,27.0,534,661.0,1.085,23.217391304347824,28.73913043478261,0.0,0.333333333,0.666666667,82.29,33.64,0.51686066,1
11,145.7425,776.5,1236,322.0,0.18745016077170418,103.0,26.833333333333332,5.0,29.66666667,6.333333333,480.6,57.92,0.7013525,1
13,242.0175,2003.5,6089,150.0,0.12073709154402595,434.92857142857144,10.714285714285714,0.0,7.333333333,21.66666667,1260.5,162.32,0.60886794,1
29,30.485,13.0,473,894.0,2.1774999999999998,15.766666666666667,29.8,0.0,0.666666667,0.0,40.71,16.95,0.6481184,1
9,15.2,174.0,434,271.0,0.08685714285714285,43.4,27.1,0.0,1.333333333,0.0,131.5,11.07,0.37714538,1
32,29.99,110.75,1612,970.0,0.2683668903803132,48.84848484848485,29.393939393939394,3.666666667,2.333333333,0.0,95.65,31.96,0.621332,1
17,206.645,1179.5,6043,419.0,0.17504870817450233,335.72222222222223,23.27777777777778,3.0,30.66666667,0.666666667,693.06,108.55,0.53728914,1
19,35.485,229.75,1473,565.0,0.15378114842903576,73.65,28.25,1.0,9.333333333,4.0,339.54,42.57,0.608612,1
13,11.14,40.75,327,392.0,0.26682634730538923,23.357142857142858,28.0,0.0,0.0,2.0,70.33,14.17,0.5531964,1
18,111.125,582.5,3064,536.0,0.19044558697514996,161.26315789473685,28.210526315789473,0.0,12.66666667,1.666666667,321.82,62.21,0.6587037,1
12,30.515,51.5,168,351.0,0.5812380952380952,12.923076923076923,27.0,2.0,1.666666667,0.0,30.5,25.26,0.60748875,1
12,148.14,1786.75,6664,62.0,0.08286393511397007,512.6153846153846,4.769230769230769,0.666666667,5.333333333,5.333333333,1142.91,90.12,0.5539314,1
27,48.195,355.5,3675,835.0,0.13518934081346423,131.25,29.821428571428573,0.0,3.0,1.0,440.25,72.59,0.64750373,1
14,92.995,2058.0,5473,193.0,0.04516512870325401,364.8666666666667,12.866666666666667,2.333333333,17.66666667,0.0,2313.69,132.59,0.4264534,1
15,41.94,126.75,774,426.0,0.3282974559686888,48.375,26.625,0.0,2.0,0.0,123.38,54.55,0.4921688,1
30,26.6425,41.25,1608,918.0,0.6305917159763313,51.87096774193548,29.612903225806452,0.0,2.0,12.0,178.76,46.79,0.7612542,1
11,46.105,1189.5,2004,68.0,0.038727425451490965,167.0,5.666666666666667,2.0,4.333333333,73.0,841.7,41.71,0.6016144,1
15,90.685,1155.25,4393,452.0,0.07843027027027027,274.5625,28.25,0.0,0.0,0.0,874.71,79.21,0.49506915,1
8,50.485,545.0,1090,246.0,0.09246336996336996,121.11111111111111,27.333333333333332,1.333333333,2.333333333,0.0,842.0,79.97,0.31077412,0
9,39.86,545.5,641,263.0,0.07293687099725527,64.1,26.3,2.666666667,1.333333333,2.666666667,525.88,34.62,0.19479181,0
11,51.635,375.5,855,320.0,0.13714475431606904,71.25,26.666666666666668,0.0,0.0,0.0,323.33,51.22,0.609949,1
11,78.8975,729.75,1297,341.0,0.10796784125898048,108.08333333333333,28.416666666666668,0.0,0.0,0.0,467.4,48.8,0.6580184,1
17,50.2825,244.5,1516,510.0,0.20481670061099796,84.22222222222223,28.333333333333332,0.0,4.666666667,0.333333333,258.44,53.71,0.57451165,1
24,113.5775,526.0,3475,730.0,0.21551707779886148,139.0,29.2,0.333333333,8.666666667,1.666666667,351.35,58.47,0.65035534,1
32,51.7325,109.25,3379,399.0,0.46922902494331065,102.39393939393939,12.090909090909092,0.0,0.333333333,1.0,273.13,59.85,0.6538898,1
23,27.78,68.75,563,16.0,0.39827956989247315,23.458333333333332,0.6666666666666666,0.0,4.666666667,1.333333333,45.19,15.94,0.37278754,1
21,30.0,18.0,416,637.0,1.5789473684210527,18.90909090909091,28.954545454545453,0.666666667,0.333333333,0.0,102.3,36.0,0.56738377,1
8,10.3825,118.25,285,248.0,0.08706498951781971,31.666666666666668,27.555555555555557,0.0,0.0,0.0,149.14,11.09,0.34518644,0
24,143.945,1474.5,9233,178.0,0.09755676042019654,369.32,7.12,2.0,13.0,5.333333333,1042.17,113.42,0.3697981,1
7,10.435,440.5,1446,205.0,0.023635334088335222,180.75,25.625,0.0,2.333333333,0.333333333,391.33,10.72,0.35648444,1
11,145.3975,2863.25,7594,-1.0,0.050762852404643455,632.8333333333334,-0.08333333333333333,14.66666667,61.33333333,2.0,2338.1,111.13,0.50320506,1
12,123.1,675.75,1431,361.0,0.18189878093830808,110.07692307692308,27.76923076923077,2.0,6.0,14.33333333,484.0,89.47,0.6674143,1
17,33.69,59.5,3200,306.0,0.5568595041322314,177.77777777777777,17.0,0.0,0.0,0.0,342.38,74.41,0.7177048,1
20,44.5025,240.75,1424,478.0,0.18408479834539812,67.80952380952381,22.761904761904763,0.0,2.666666667,0.666666667,264.78,43.89,0.5417167,1
56,48.195,355.5,763,592.0,0.13518934081346423,13.385964912280702,10.385964912280702,0.0,0.0,0.0,86.1,16.02,0.1477617,0
11,36.89,1148.5,1815,250.0,0.0320922140060896,151.25,20.833333333333332,18.66666667,69.66666667,10.33333333,1157.6,57.64,0.742401,1
11,61.2275,442.5,1271,326.0,0.1380552423900789,105.91666666666667,27.166666666666668,0.0,2.666666667,0.0,394.9,65.38,0.64113563,1
14,55.8875,1217.25,3847,116.0,0.04587523086394418,256.46666666666664,7.733333333333333,2.333333333,16.33333333,0.0,1217.85,60.68,0.47266835,1
16,53.4875,786.25,2282,54.0,0.0679422038742458,134.23529411764707,3.176470588235294,1.666666667,7.0,0.333333333,602.0,53.48,0.35189056,0
8,5.0,0.0,344,242.0,5.0,38.22222222222222,26.88888888888889,0.0,0.0,0.0,647.0,17.85,0.8163439,1
15,19.3125,783.75,1660,449.0,0.024609748327492832,103.75,28.0625,0.666666667,3.333333333,15.66666667,693.5,17.88,0.49335292,1
7,71.5825,1475.5,1867,4.0,0.048481205553674224,233.375,0.5,1.0,22.33333333,30.33333333,1686.17,96.38,0.39314532,1
35,33.7275,231.5,2414,48.0,0.14506451612903226,67.05555555555556,1.3333333333333333,0.0,9.666666667,0.333333333,273.09,34.18,0.34343374,0
13,104.99,132.75,1623,366.0,0.7849719626168223,115.92857142857143,26.142857142857142,0.333333333,0.0,1.333333333,424.27,101.37,0.7287595,1
11,35.575,107.75,849,321.0,0.32712643678160924,70.75,26.75,0.666666667,7.0,0.666666667,204.9,37.02,0.72463113,1
15,66.6225,378.0,1893,236.0,0.1757849604221636,118.3125,14.75,0.666666667,6.333333333,1.333333333,493.79,79.6,0.52184075,1
14,92.265,1875.75,2316,367.0,0.04916211535899827,154.4,24.466666666666665,12.0,13.0,206.3333333,758.08,81.0,0.51814544,1
25,56.715,377.25,3517,626.0,0.14994051553205553,135.26923076923077,24.076923076923077,0.666666667,6.666666667,1.333333333,328.35,50.99,0.5752568,1
10,45.14,666.25,2452,294.0,0.06765080554514799,222.9090909090909,26.727272727272727,0.0,0.0,0.0,756.78,40.32,0.27605224,0
12,90.0375,686.0,1857,359.0,0.1310589519650655,142.84615384615384,27.615384615384617,1.0,2.666666667,24.0,484.64,55.36,0.6670159,1
18,63.5975,440.75,5186,55.0,0.14396717600452744,272.94736842105266,2.8947368421052633,0.666666667,5.333333333,0.0,802.71,93.27,0.4495605,1
23,53.595,87.25,819,690.0,0.6073087818696884,34.125,28.75,1.0,0.0,1.666666667,181.86,52.96,0.55296683,1
10,51.31,631.25,1889,296.0,0.08115460656385924,171.72727272727272,26.90909090909091,0.0,13.33333333,0.333333333,578.11,52.37,0.3022093,0
12,55.5425,1460.75,2854,341.0,0.03799726355395929,219.53846153846155,26.23076923076923,0.0,0.0,0.0,1275.9,54.17,0.62658906,1
12,49.99,432.75,1349,350.0,0.11525072046109511,103.76923076923077,26.923076923076923,0.0,0.0,0.0,557.6,50.44,0.6593052,1
20,33.0925,22.5,250,596.0,1.4081914893617022,11.904761904761905,28.38095238095238,0.0,1.666666667,0.0,25.26,37.82,0.49796364,1
23,51.1925,153.5,1800,209.0,0.3313430420711974,75.0,8.708333333333334,1.0,1.333333333,0.0,266.29,111.3,0.4704339,1
19,67.3175,654.25,1929,89.0,0.10273559710034337,96.45,4.45,0.0,13.0,2.333333333,504.76,66.93,0.394644,1
14,13.0725,978.25,3717,43.0,0.013349502170028083,247.8,2.8666666666666667,1.0,5.333333333,72.66666667,679.67,41.86,0.44991493,1
19,34.6825,243.5,1647,582.0,0.14185071574642125,82.35,29.1,1.0,1.0,1.333333333,165.56,39.33,0.5018105,1
11,80.4625,1695.0,5135,322.0,0.04744251179245283,427.9166666666667,26.833333333333332,2.666666667,17.33333333,54.66666667,1684.6,89.12,0.6005927,1
21,85.4475,574.5,4973,75.0,0.14847523892267595,226.04545454545453,3.409090909090909,3.0,11.33333333,0.666666667,446.1,73.97,0.4038675,1
20,45.9,375.75,1829,575.0,0.12183145321831453,87.0952380952381,27.38095238095238,0.0,1.333333333,2.333333333,168.63,30.74,0.4797823,1
21,56.5375,499.5,3011,628.0,0.11296203796203796,136.86363636363637,28.545454545454547,0.0,4.333333333,0.666666667,433.65,54.75,0.54183656,1
12,18.0875,674.75,2743,48.0,0.02676655567887532,211.0,3.6923076923076925,1.333333333,20.0,7.333333333,903.4,48.23,0.6751388,1
35,34.99,41.25,890,1062.0,0.8281656804733728,24.72222222222222,29.5,0.0,0.333333333,0.666666667,58.88,36.59,0.5710679,1
13,42.9025,419.25,2534,212.0,0.10208804283164784,181.0,15.142857142857142,3.0,4.333333333,0.0,569.73,82.89,0.50709957,1
14,71.6325,296.5,2842,32.0,0.240781512605042,189.46666666666667,2.1333333333333333,0.0,1.333333333,0.0,475.23,56.57,0.5333389,1
8,38.365,425.25,962,241.0,0.0900058651026393,106.88888888888889,26.77777777777778,0.0,0.0,0.0,313.14,36.34,0.2021262,0
16,39.9675,182.25,1352,470.0,0.2181036834924966,79.52941176470588,27.647058823529413,0.0,0.666666667,0.333333333,203.07,39.93,0.5216141,1
10,12.595,224.5,1228,144.0,0.05585365853658537,111.63636363636364,13.090909090909092,0.0,6.0,1.333333333,248.44,22.56,0.43595582,1
13,49.7775,108.75,675,403.0,0.45355353075170846,48.214285714285715,28.785714285714285,0.0,1.333333333,0.0,166.5,53.7,0.5853865,1
20,123.61,1086.25,6730,42.0,0.1136905035640377,320.4761904761905,2.0,1.0,7.333333333,0.333333333,902.37,102.96,0.34827596,0
26,59.99,63.0,1855,763.0,0.93734375,68.70370370370371,28.25925925925926,0.0,1.333333333,0.0,137.79,60.61,0.5703537,1
8,114.5175,1680.75,3749,4.0,0.06809424706407016,416.55555555555554,0.4444444444444444,10.66666667,12.66666667,133.0,2013.0,114.74,0.41042992,1
7,10.495,365.0,255,185.0,0.02867486338797814,31.875,23.125,16.33333333,2.0,1.333333333,342.2,10.2,0.32356372,0
13,38.065,321.25,1045,369.0,0.11812257564003102,74.64285714285714,26.357142857142858,8.666666667,3.333333333,2.333333333,281.5,37.27,0.52116513,1
15,30.485,254.75,1255,434.0,0.11919843597262952,78.4375,27.125,0.0,0.0,0.0,264.79,40.19,0.46615332,1
32,67.415,601.75,3607,969.0,0.11184570717544588,109.3030303030303,29.363636363636363,1.333333333,9.333333333,0.333333333,319.35,60.21,0.51632226,1
11,40.79,100.5,560,330.0,0.401871921182266,46.666666666666664,27.5,0.0,0.0,0.0,139.2,37.34,0.6483346,1
15,64.8825,574.5,2468,447.0,0.11274109470026063,154.25,27.9375,0.0,10.0,2.0,367.29,40.68,0.5867322,1
12,53.9925,556.5,1716,346.0,0.096847533632287,132.0,26.615384615384617,0.0,0.0,0.0,515.0,51.64,0.61762977,1
24,82.9025,597.5,5387,335.0,0.1385171261487051,215.48,13.4,2.0,10.0,0.666666667,489.48,69.18,0.5440244,1
8,45.97,1018.75,1174,246.0,0.04507967639127237,130.44444444444446,27.333333333333332,0.666666667,5.0,2.0,1213.0,42.04,0.33828738,0
17,100.8125,998.25,3069,224.0,0.10088816612459345,170.5,12.444444444444445,0.0,6.666666667,0.666666667,790.47,88.49,0.46541882,1
32,7.0,2.0,2291,650.0,2.3333333333333335,69.42424242424242,19.696969696969695,0.0,0.0,0.0,148.9,31.06,0.7279998,1
8,48.845,136.0,464,223.0,0.3565328467153285,51.55555555555556,24.77777777777778,1.333333333,4.333333333,0.333333333,142.67,49.6,0.27865735,0
15,40.77,590.25,1845,455.0,0.0689556025369979,115.3125,28.4375,2.0,8.333333333,0.0,416.07,40.7,0.4691571,1
6,112.19,1400.75,1722,181.0,0.08003566969859105,246.0,25.857142857142858,0.0,4.666666667,0.333333333,1460.0,80.09,0.4705783,1
7,36.45,206.5,671,191.0,0.17566265060240965,83.875,23.875,0.333333333,0.0,0.0,573.8,91.25,0.39870766,1
6,75.665,606.25,746,185.0,0.12460271716755868,106.57142857142857,26.428571428571427,0.0,4.0,0.0,606.2,76.47,0.34469688,0
23,89.355,749.75,5464,677.0,0.11902097902097902,227.66666666666666,28.208333333333332,0.0,5.333333333,1.666666667,515.86,60.37,0.56184214,1
38,69.89,369.75,4696,333.0,0.18850977747808498,120.41025641025641,8.538461538461538,0.0,2.333333333,2.0,364.85,53.53,0.4502785,1
16,41.365,323.75,2465,280.0,0.12737490377213243,145.0,16.470588235294116,0.333333333,8.666666667,0.333333333,266.73,39.11,0.5035209,1
30,32.63666667,184.0,3313,912.0,0.17641441443243241,106.87096774193549,29.419354838709676,1.0,4.333333333,1.0,391.64,66.82,0.6303389,1
29,200.8525,1626.25,13668,251.0,0.12343063450606852,455.6,8.366666666666667,1.0,16.0,5.666666667,1471.79,257.81,0.39574245,1
21,54.9725,375.75,3350,615.0,0.1459124087591241,152.27272727272728,27.954545454545453,0.0,8.0,2.666666667,595.65,59.23,0.6353716,1
12,50.68,70.0,416,338.0,0.7138028169014085,32.0,26.0,0.0,2.666666667,0.333333333,111.8,53.08,0.6494666,1
56,149.99,2382.5,46322,307.0,0.06292846654080135,812.6666666666666,5.385964912280702,9.666666667,4.0,22.0,1691.19,95.38,0.3765769,1
11,44.09,909.25,1011,309.0,0.048437242515792366,84.25,25.75,0.0,0.0,0.0,938.44,39.45,0.6393155,1
29,30.98666667,85.33333333,1316,611.0,0.35891891897138684,43.86666666666667,20.366666666666667,0.0,4.0,0.0,154.3,45.75,0.60068417,1
31,30.27,279.25,2169,954.0,0.1080107047279215,67.78125,29.8125,3.0,5.0,0.0,225.23,32.74,0.57278234,1
8,39.9725,453.5,1890,214.0,0.08794829482948294,210.0,23.77777777777778,2.0,6.0,39.33333333,607.17,55.46,0.31506434,0
20,63.5325,566.75,3334,599.0,0.11190224570673712,158.76190476190476,28.523809523809526,0.0,31.33333333,2.666666667,780.79,129.17,0.6099539,1
30,72.275,328.75,3116,157.0,0.2191811978771797,100.51612903225806,5.064516129032258,0.0,3.666666667,0.0,272.96,53.47,0.38808098,1
7,30.915,77.5,154,214.0,0.3938216560509554,19.25,26.75,0.0,1.0,0.333333333,52.17,31.31,0.26513067,0
13,42.595,348.75,1121,369.0,0.12178699070764831,80.07142857142857,26.357142857142858,0.0,5.333333333,0.0,268.17,43.23,0.5279687,1
12,30.26,127.0,714,357.0,0.23640625,54.92307692307692,27.46153846153846,0.0,12.66666667,3.666666667,112.36,30.28,0.6271186,1
23,60.185,596.25,5720,676.0,0.10077019673503558,238.33333333333334,28.166666666666668,0.333333333,2.333333333,14.33333333,643.64,66.03,0.50054276,1
16,32.57,193.5,946,33.0,0.16745501285347045,55.64705882352941,1.9411764705882353,0.0,5.333333333,1.333333333,119.87,30.25,0.35892552,1
27,30.26,34.25,576,171.0,0.8584397163120567,20.571428571428573,6.107142857142857,0.0,1.0,0.0,46.08,33.7,0.35154438,0
24,90.13,208.75,2122,718.0,0.42970202622169246,84.88,28.72,1.0,1.333333333,3.333333333,281.14,80.6,0.5646824,1
37,25.0425,69.0,2576,1124.0,0.35775,67.78947368421052,29.57894736842105,0.666666667,0.666666667,0.666666667,173.42,29.56,0.69968814,1
32,30.0975,148.0,1863,14.0,0.201996644295302,56.45454545454545,0.42424242424242425,0.333333333,1.666666667,2.333333333,148.97,31.78,0.26653528,0
31,63.62,486.75,3324,482.0,0.13043567401332648,103.875,15.0625,0.0,1.333333333,4.0,295.76,53.56,0.43758968,1
28,17.61,222.0,2848,842.0,0.07896860986547084,98.20689655172414,29.03448275862069,0.0,3.333333333,3.666666667,213.88,28.6,0.5338698,1
26,34.43,100.25,776,802.0,0.3400493827160494,28.74074074074074,29.703703703703702,0.0,0.0,2.666666667,154.48,42.91,0.49883294,1
7,35.26,132.5,153,212.0,0.2641198501872659,19.125,26.5,0.0,1.0,1.666666667,116.33,32.11,0.20316578,0
10,43.185,224.0,495,292.0,0.19193333333333334,45.0,26.545454545454547,0.333333333,0.0,2.0,147.0,43.48,0.24905571,0
23,63.24,97.25,1111,689.0,0.6436641221374046,46.291666666666664,28.708333333333332,0.0,1.0,1.333333333,169.82,56.06,0.5641625,1
21,50.7425,388.75,4257,428.0,0.130192431045542,193.5,19.454545454545453,0.0,6.666666667,1.333333333,429.35,64.77,0.5706729,1
9,79.5675,1604.5,2564,288.0,0.049559327312363746,256.4,28.8,2.666666667,8.333333333,14.0,1814.63,87.72,0.32267672,0
11,37.9475,252.75,1399,305.0,0.14954679802955664,116.58333333333333,25.416666666666668,0.0,5.666666667,0.0,267.78,37.72,0.5810032,1
10,29.99,313.0,567,296.0,0.09550955414012738,51.54545454545455,26.90909090909091,5.666666667,14.33333333,30.33333333,313.11,30.45,0.4051846,1
25,53.69,356.25,1234,391.0,0.15028691392582225,47.46153846153846,15.038461538461538,0.333333333,0.0,11.33333333,419.05,68.45,0.5360703,1
7,49.99,288.25,361,208.0,0.17282627484874677,45.125,26.0,0.0,5.666666667,2.333333333,332.6,48.69,0.31038782,0
11,50.2375,507.0,1826,332.0,0.09889271653543306,152.16666666666666,27.666666666666668,0.0,0.0,0.0,565.8,58.68,0.6517005,1
49,35.2375,892.5,4548,411.0,0.03943760492445439,90.96,8.22,3.0,8.0,5.333333333,298.49,32.51,0.31471983,0
38,30.16,79.5,2382,1137.0,0.3746583850931677,61.07692307692308,29.153846153846153,0.0,1.0,0.0,119.64,32.38,0.6486428,1
13,34.99,334.0,1355,378.0,0.10444776119402986,96.78571428571429,27.0,0.0,2.0,0.0,476.33,37.77,0.59615654,1
29,50.0,401.0,2536,861.0,0.12437810945273632,84.53333333333333,28.7,0.0,6.333333333,3.333333333,335.86,56.36,0.56326157,1
